"","issn_merge","year","rank","sourceid","title","type","issn","sjr","sjr_best_quartile","h_index","total_docs_year","total_docs_3years","total_refs","total_cites_3years","citable_docs_3years","cites_doc_2years","ref_doc","country","region","publisher","coverage","categories","areas","issn_short","Journal","Issn","Eissn","Description","Publisher","Societies","Author.guideline.url","Data.citation.score","Data.citation.justification","Data.transparency.score","Data.transparency.justification","Analysis.code.transparency.score","Analysis.code.transparency.justification","Materials.transparency.score","Materials.transparency.justification","Design...analysis.reporting.guidelines.score","Design...analysis.reporting.guidelines.justification","Study.preregistration.score","Study.preregistration.justification","Analysis.plan.preregistration.score","Analysis.plan.preregistration.justification","Replication.score","Replication.justification","Registered.reports...publication.bias.score","Registered.reports...publication.bias.justification","Open.science.badges.score","Open.science.badges.justification","top_factor"
"34604","19492553","2023",6357,19900191708,"Oncotarget","journal","19492553",0.789,"Q2",177,142,791,4179,1777,743,1.92,29.43,"United States","Northern America","Impact Journals LLC","2010-2023","Oncology (Q2)","Medicine","19492553","Oncotarget","1949-2553","","""Oncotarget (a primarily oncology-focused, peer-reviewed, open access journal) aims to maximize research impact through insightful peer-review; eliminate borders between specialties by linking different fields of oncology, cancer research and biomedical sciences; and foster application of basic and clinical science.""","","","https://www.oncotarget.com/editorial-policies/",0,"No mention.",0,"""Materials, data, and protocols should be made available upon request and within a reasonable amount of time, under the terms agreed upon by the party making the request and the authors.""",0,"""Materials, data, and protocols should be made available upon request and within a reasonable amount of time, under the terms agreed upon by the party making the request and the authors.'",0,"""Materials, data, and protocols should be made available upon request and within a reasonable amount of time, under the terms agreed upon by the party making the request and the authors.""",0,"No mention.",0,"Journal requires registration for clinical trials only.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"34621","19726325","2023",16476,21100228948,"TPM - Testing, Psychometrics, Methodology in Applied Psychology","journal","19726325",0.278,"Q3",28,29,95,1421,71,92,0.62,49,"Italy","Western Europe","Cises srl","2005, 2007-2023","Applied Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q4)","Psychology","19726325","TPM - Testing, Psychometrics, Methodology in Applied Psychology","1972-6325","","""TPM – Testing, Psychometrics, Methodology in Applied Psychology is a quarterly peer-reviewed journal that emphasizes the publication of original research offering new knowledge to the fields of applied psychology, social psychology, work and organizational psychology, personality and individual differences, psychological methods.""","","","https://www.tpmap.org/instructions-to-authors-2/",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"34643","19768257","2023",12579,21100197929,"Toxicological Research","journal","19768257, 22342753",0.418,"Q3",42,60,136,3291,304,136,2.32,54.85,"South Korea","Asiatic Region","Koreal Association of Medical Journal Editors","2008-2023","Health, Toxicology and Mutagenesis (Q3); Toxicology (Q3)","Environmental Science; Pharmacology, Toxicology and Pharmaceutics","19768257","Toxicological Research","1976-8257","2234-2753","""Toxicological Research is the official journal of the Korean Society of Toxicology. The journal covers all areas of Toxicological Research of chemicals, drugs and environmental agents affecting human and animals, which in turn impact public health.""","Springer","","https://www.springer.com/journal/43188/submission-guidelines",1,"""The journal recommends that authors cite any publicly available data on which the conclusions of the paper rely. This includes data the authors are sharing alongside their publication and any secondary data the authors have reused.""",1,"""All original research must include a data availability statement.""",0,"""The above should be summarized in a statement and placed in a Declarations section before the reference list under a heading of Funding and/or Competing interests. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors contribution statements.""",0,"""The above should be summarized in a statement and placed in a Declarations section before the reference list under a heading of Funding and/or Competing interests. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors contribution statements.""",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,"Only mentions clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",3
"34656","1982355X","2023",16547,21100332432,"South American Journal of Herpetology","journal","1982355X, 18089798",0.276,"Q3",15,25,86,2864,69,86,0.75,114.56,"Brazil","Latin America","Sociedade Brasileira de Herpetologia","2014-2023","Animal Science and Zoology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)","Agricultural and Biological Sciences","1982355X","South American Journal of Herpetology","1982-355X","","","","","http://sbherpetologia.org.br/publicacoes/south-american-journal-of-herpetology/instructions-to-authors",1,"Journal does describe citation of materials (software and software packages). This warrants a level 1.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"34668","1991959X","2023",1307,21100197121,"Geoscientific Model Development","journal","1991959X, 19919603",2.055,"Q1",131,337,1030,24572,5361,1030,4.09,72.91,"Germany","Western Europe","Copernicus Gesellschaft mbH","2008-2023","Earth and Planetary Sciences (miscellaneous) (Q1); Modeling and Simulation (Q1)","Earth and Planetary Sciences; Mathematics","1991959X","Geoscientific Model Development","1991-959X","1991-9603","""Geoscientific Model Development (GMD) is a not-for-profit international scientific journal dedicated to the publication and public discussion of the description, development, and evaluation of numerical models of the Earth system and its components.""","","","https://www.geoscientific-model-development.net/policies/code_and_data_policy.html",1,"""In line with the FORCE11 Joint Declaration of Data Citation Principles, the data citations should appear in the bibliography and be referenced in the text in the same way as other publications (Martone, 2014).""",2,"""A frozen version of the code and data as developed in the paper must be archived""",2,"""A frozen version of the code and data as developed in the paper must be archived""",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",5
"34680","19940416","2023",1221,11700154363,"Cryosphere","journal","19940416, 19940424",2.132,"Q1",113,281,820,19194,4194,820,4.58,68.31,"Germany","Western Europe","Copernicus Group","2007-2023","Earth-Surface Processes (Q1); Water Science and Technology (Q1)","Earth and Planetary Sciences; Environmental Science","19940416","The Cryosphere","1994-0416","1994-0424","""The Cryosphere (TC) is a not-for-profit international scientific journal dedicated to the publication and discussion of research articles, short communications, and review papers on all aspects of frozen water and ground on Earth and on other planetary bodies.""","","","https://www.the-cryosphere.net/policies/data_policy.html",1,"Journal follows the Joint Declaration of Data Citation Principles initiated by FORCE 11.",1,"""Authors are required to provide a statement on how their underlying research data can be accessed. This must be placed as the section ""Data availability"" at the end of the manuscript.""",0,"""Copernicus Publications encourages authors to also deposit software, algorithms, model code, video supplements, video abstracts, International Geo Sample Numbers, and other underlying material on suitable FAIR-aligned repositories/archives whenever possible.""",0,"""Copernicus Publications encourages authors to also deposit software, algorithms, model code, video supplements, video abstracts, International Geo Sample Numbers, and other underlying material on suitable FAIR-aligned repositories/archives whenever possible.""",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",2
"34695","19994915","2023",3584,19700188364,"Viruses","journal","19994915",1.14,"Q1",130,2444,6780,153367,27347,6634,3.89,62.75,"Switzerland","Western Europe","Multidisciplinary Digital Publishing Institute (MDPI)","2009-2023","Infectious Diseases (Q1); Virology (Q2)","Immunology and Microbiology; Medicine","19994915","Viruses","1999-4915","","""Viruses is a peer-reviewed, open access journal of virology, published monthly online by MDPI. The American Society for Virology (ASV), Spanish Society for Virology (SEV), Canadian Society for Virology (CSV), Italian Society for Virology (SIV-ISV), Australasian Virology Society (AVS) and others are affiliated with Viruses and their members receive a discount on the article processing charges.""","","","https://www.mdpi.com/journal/viruses/instructions",1,"""We encourage citations to data, computer code and other citable research material. If available online, you may use reference style 9. below.""",1,"""Data Availability Statement: In this section, please provide details regarding where data supporting reported results can be found, including links to publicly archived datasets analyzed or generated during the study.""",0,"""For work where novel computer code was developed, authors should release the code either by depositing in a recognized, public repository such as GitHub or uploading as supplementary information to the publication.""",0,"""Additional data and files can be uploaded as ""Supplementary Files"" during the manuscript submission process.""",2,"Journal lists a series of guidelines for authors to follow.",0,"""Where authors have preregistered studies or analysis plans, links to the preregistration must be provided in the manuscript.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",4
"34713","20053673","2023",12963,15800154702,"Journal of Korean Academy of Nursing","journal","20053673, 2093758X",0.402,"Q2",31,49,176,2180,247,162,1.36,44.49,"South Korea","Asiatic Region","Korean Society of Nursing Science","2008-2023","Nursing (miscellaneous) (Q2)","Nursing","20053673","Journal of Korean Academy of Nursing","2005-3673","2093-758X","""The Journal of Korean Academy of Nursing (JKAN) is the official peer-reviewed research journal of the Korean Society of Nursing Science (KSNS) and a scientific journal that seeks to promote the development and dissemination of knowledge that is directly relevant to all spheres of nursing practice, policy, and professional issues. The JKAN provides a forum for original research and scholarship in the areas of clinical scholarship, health policy and systems, profession and society and world health. The JKAN aims to support evidence informed policy and practice by publishing high quality research papers to report research findings, reviews and discussion papers, editorials which are of interest to an international readership of practitioners, educators, administrators and researchers in all areas of nursing, and letters to the editor.""","","","https://jkan.or.kr/index.php?body=instructions",0,"No mention.",0,"Research Data Sharing policy does not require data disclosure. ""This journal encourages and enables you to share data that supports your research""",0,"""...this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,"""...this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",2,"""JKAN requires that manuscripts adhere to recognized reporting guidelines..."" followed by links to STROBE, CONSORT, etc.",0,"Not mentioned",0,"Not mentioned",0,"Not mentioned",0,"Not mentioned",0,"Not mentioned",2
"34731","20059752","2023",13218,21100226424,"Toxicology and Environmental Health Sciences","journal","20059752, 22337784",0.391,"Q3",23,47,119,2446,269,119,2,52.04,"South Korea","Asiatic Region","Korean Society of Environmental Risk Assessment and Health Science","2009-2023","Health, Toxicology and Mutagenesis (Q3); Toxicology (Q3)","Environmental Science; Pharmacology, Toxicology and Pharmaceutics","20059752","Toxicology and Environmental Health Sciences","2005-9752","2233-7784","""Toxicology and Environmental Health Sciences (ToxEHS) publishes original research and reviews in all areas of fundamental and applied research relating to the toxicity of chemicals, nanoparticles and drugs at the molecular and cellular level in human and all model living system by all routes of exposure and in vitro / ex vivo. Focus is on risk assessment, environmental toxicology and environmental health as applied to humans (including epidemiological studies) and all the model organisms (including fish to mammal).""","Springer","","https://www.springer.com/journal/13530/submission-guidelines",0,"No mention",1,"""Authors must disclose any restrictions on the availability of materials or information upon submission of the manuscript.""",0,"No mention",0,"No mention",1,"""Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0,"Only mentions clinical trials.",0,"No mentino",0,"No mention",0,"No mention",0,"No mention",2
"34746","20097379","2023",17542,21100836293,"International Journal of Religious Tourism and Pilgrimage","journal","20097379",0.25,"Q1",14,60,182,3014,251,177,0.99,50.23,"Ireland","Western Europe","Technological University Dublin","2017-2023","Religious Studies (Q1); Tourism, Leisure and Hospitality Management (Q4)","Arts and Humanities; Business, Management and Accounting","20097379","International Journal of Religious Tourism and Pilgrimage","2009-7379","","""The International Journal of Religious Tourism and Pilgrimage is a high-quality, international, open access, online, double blind reviewed publication which deals with all aspects of Religious Tourism and Pilgrimage. The International Journal of Religious Tourism and Pilgrimage (IJRTP) was founded in 2013 by an international group of researchers (the Institute for Religious Tourism and Pilgrimage). The journal is published by the Technological University Dublin, Dublin, Ireland. All articles in this journal are full text and available on open access.""","","","https://arrow.tudublin.ie/ijrtp/contributor_notes.html#notes",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"34750","20402392","2023",1372,19700177555,"Molecular Autism","journal","20402392",1.989,"Q1",79,46,217,3353,1425,214,6.28,72.89,"United Kingdom","Western Europe","BioMed Central Ltd","2010-2023","Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience","20402392","Molecular Autism","2040-2392","","""Molecular Autism is a peer-reviewed, open access journal that publishes high-quality basic, translational and clinical research that has relevance to the etiology, pathobiology, or treatment of autism and related neurodevelopmental conditions. Research that includes integration across levels is encouraged. Molecular Autism publishes empirical studies, reviews, and brief communications.""","BioMed Central","","https://www.biomedcentral.com/getpublished/editorial-policies",2,"""BMC endorses the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""All authors must include an Availability of Data and Materials section in their manuscript detailing where the data supporting their findings can be found.""",1,"""The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code.""",1,"""Submission of a manuscript to a BMC journal implies that any unique materials described in the manuscript will be freely available to scientists wishing to use them for non-commercial purposes, without breaching participant confidentiality.""",1,"""We strongly recommend that authors refer to the minimum reporting guidelines for health research hosted by the EQUATOR Network when preparing their manuscript, and FAIRsharing.org for reporting checklists for biological and biomedical research, where applicable. """,0,"Only mentions clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",6
"34765","20411480","2023",10514,21100316001,"Journal of Biomedical Semantics","journal","20411480",0.513,"Q2",46,21,62,1056,153,62,2.34,50.29,"United Kingdom","Western Europe","BioMed Central Ltd","2010-2023","Computer Networks and Communications (Q2); Information Systems (Q2); Computer Science Applications (Q3); Health Informatics (Q3)","Computer Science; Medicine","20411480","Journal of Biomedical Semantics","2041-1480","","""Journal of Biomedical Semantics addresses issues of semantic enrichment and semantic processing in the biomedical and clinical domain. The scope of the journal covers two main areas: Infrastructure for biomedical semantics: focusing on semantic resources and repositories, ontology design, meta-data standards and management, resource description, knowledge representation and semantic frameworks, the Biomedical Semantic Web, and semantic interoperability.""","BioMed Central","","https://www.biomedcentral.com/getpublished/editorial-policies",2,"""BMC endorses the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""All authors must include an Availability of Data and Materials section in their manuscript detailing where the data supporting their findings can be found.""",1,"""The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code.""",1,"""Submission of a manuscript to a BMC journal implies that any unique materials described in the manuscript will be freely available to scientists wishing to use them for non-commercial purposes, without breaching participant confidentiality.""",1,"""We strongly recommend that authors refer to the minimum reporting guidelines for health research hosted by the EQUATOR Network when preparing their manuscript, and FAIRsharing.org for reporting checklists for biological and biomedical research, where applicable. """,0,"Only mentions clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",6
"34775","20411723","2023",297,19700182758,"Nature Communications","journal","20411723",4.887,"Q1",522,8240,20805,509160,312714,20403,13.79,61.79,"United Kingdom","Western Europe","Nature Publishing Group","2010-2023","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy","20411723","Nature Communications","2041-1723","","""Nature Communications is an open access, multidisciplinary journal dedicated to publishing high-quality research in all areas of the biological, health, physical, chemical and Earth sciences. Papers published by the journal aim to represent important advances of significance to specialists within each field.""","Nature","","https://www.nature.com/ncomms/editorial-policies/reporting-standards",1,"""Datasets that have been deposited in repositories should be included as formal citations in the article reference list. This includes datasets generated during the study as well as existing datasets analyzed during the study.""",1,"""All published manuscripts reporting original research in Nature Portfolio journals must include a data availability statement.""",3,"""A subset of Nature journals (listed below) undertake peer review of custom code or mathematical algorithm, and software, when it is central to the manuscript. For code/algorithm peer review, we require release of code/algorithm during the peer review process, verification by peer reviewers and release of code/algorithm at publication.""",1,"""A condition of publication in a Nature Portfolio journal is that authors are required to make unique materials promptly available to others without undue qualifications. It is acceptable to request reasonable payment to cover costs of distribution and reagents may be made available via commercial or non-commercial third party providers. Any restrictions on materials availability, including if materials are to be distributed by a for-profit company, must be clearly stated in the paper.""",2,"""Authors reporting phase II and phase III randomized controlled trials must refer to the CONSORT Statement for recommendations to facilitate the complete and transparent reporting of trial findings. Reports that do not conform to the CONSORT guidelines may need to be revised before formal review.""",0,"""Nature Portfolio journals support study pre-registration (including clinical trials) and pre-registration of analysis plans in public repositories; details of pre-registration should be provided with submission.""",0,"""Nature Portfolio journals support study pre-registration (including clinical trials) and pre-registration of analysis plans in public repositories; details of pre-registration should be provided with submission.""",1,"""Nature Portfolio appreciates the value of replication of previous findings. We welcome submission of replication studies that provide new insights into previously published results and will evaluate these submissions with the same editorial standards we apply to other submissions.""",3,"""Registered Reports, a research article format intended to reduce publication bias and increase methodological rigour is available at Nature Human Behaviour, for select disciplines at Nature Communications, Nature Methods, and Scientific Reports.""",0,"No mention.",12
"34792","2041210X","2023",847,21100217611,"Methods in Ecology and Evolution","journal","2041210X",2.643,"Q1",161,248,624,13585,4667,616,6.65,54.78,"United States","Northern America","John Wiley &amp; Sons Inc.","2011-2023","Ecological Modeling (Q1); Ecology, Evolution, Behavior and Systematics (Q1)","Agricultural and Biological Sciences; Environmental Science","2041210X","Methods in Ecology & Evolution","2041-210X","2041-2096","""Methods in Ecology and Evolution (MEE) is a British Ecological Society journal that promotes the development of new methods in ecology & evolution, and facilitates their dissemination and uptake by the research community.""","Wiley","","https://besjournals.onlinelibrary.wiley.com/hub/journal/2041210X/author-guidelines",1,"Gives clear examples of data citation.",1,"""To enable readers to locate archived data from papers, we require that authors list the database and the respective accession numbers or DOIs for all data from the manuscript that has been made publicly available.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"34806","20413866","2023",673,21100405117,"Organizational Psychology Review","journal","20413866, 20413874",2.978,"Q1",42,26,41,2695,320,39,7.21,103.65,"United States","Northern America","SAGE Publications Inc.","2012-2023","Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)","Business, Management and Accounting; Psychology","20413866","Organizational Psychology Review","2041-3866","2041-3874","""Organizational Psychology Review's unique aim is to publish original conceptual work and meta-analyses in the field of organizational psychology (broadly defined to include applied, industrial, occupational, personnel, and work psychology as well as organizational behavior).""","SAGE","","https://journals.sagepub.com/author-instructions/OPR",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research"" Provides no guidance.",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to:  share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"34816","20414889","2023",965,19700201211,"Cell Death and Disease","journal","20414889",2.447,"Q1",164,828,3153,48403,26701,3125,7.57,58.46,"United Kingdom","Western Europe","Nature Publishing Group","2010-2023","Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience","20414889","Cell Death & Disease","2041-4889","","""Brought to you by the editorial team of Cell Death & Differentiation, Cell Death & Disease is a peer-reviewed online journal in the field of translational cell death. It seeks to promote diverse and integrated areas of experimental and internal medicine with its specialties, including cancer, immunity and neuroscience.""","Nature","","https://www.nature.com/cddis/authors-and-referees/gta",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",1,"""Cell Death and Disease recommends following the ARRIVE reporting guidelines when documenting animal studies.""",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",1
"34832","20416695","2023",8486,21100210905,"i-Perception","journal","20416695",0.629,"Q2",37,53,193,1953,416,192,2.33,36.85,"United Kingdom","Western Europe","SAGE Publications Ltd","2010-2023","Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)","Computer Science; Medicine; Neuroscience; Psychology","20416695","i-Perception","2041-6695","","""i-Perception (IPE) is a peer-reviewed, open access journal well suited to publishing in emerging fields of perceptual research where movies and on-line demonstrations are essential, such as studies of motion, virtual reality, colour, visual arts and empirical aesthetics. Please see the Aims and Scopes tab for more information.""","SAGE","","https://perma.cc/M9EG-JTLT",0,"No mention.",0,"""SAGE acknowledges the importance of research data availability as an integral part of the research and verification process for academic journal articles.  Once accepted for publication, the author is expected to make stimulus material and raw data available if requested.Some funders require, and SAGE strongly recommends, that you provide a statement on how any underlying research materials related to your paper (for example data, samples or models) can be accessed."" Recommended, not required.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",3,"""Registered Reports:  These allow you to submit a prospective manuscript for a study that you have not yet run. The review is completed in 2 stages.  At Stage 1 (before results) the manuscript will be assessed on the basis of how strong the hypotheses are and whether the methodology and design are robust and promising. At this point the paper can be accepted in principle or rejected. If accepted in principle then the final article should be accepted unless the final manuscript fails to conduct the study originally described. The Stage 1 manuscript should include: introduction - spelling out why the study is important; methods - including information to interpret whether the study is sufficiently well-powered to find a positive result (or to interpret a null result); analysis - detailing as fully as possible the analysis steps that will be used. The Stage 1 submission may also include pilot data, but this is not required. Stage 1 acceptance is conditional on the authors also submitting, immediately after Stage 1 acceptance, a formal registration to an appropriate repository such as the Open Science Framework (see https://osf.io/rr/). At Stage 2 (after results), you should add the data and analyses previously described, and a discussion, so the final paper is similar to a Standard Article. Additional data and/or analyses, not included in Stage 1, can also be provided at this stage but these must be clearly distinguished from the a priori analyses. """,0,"No mention.",3
"34858","20418213","2023",782,19900192103,"Astrophysical Journal Letters","journal","20418213, 20418205",2.766,"Q1",196,725,1977,50320,14057,1977,7.68,69.41,"United Kingdom","Western Europe","American Astronomical Society","1991-1993, 1995-2023","Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)","Earth and Planetary Sciences; Physics and Astronomy","20418213","Astrophysical Journal Letters","2041-8213","2041-8205","""The Astrophysical Journal Letters is the premier journal for rapid publication of high-impact astronomical research. ApJL publishes brief reports on the most influential developments across astronomy and astrophysics.""","American Astronomical Society ","American Astronomical Society","https://journals.aas.org/author-resources/",0,"""Software and citable data objects in persistent repositories should include the repository name in addition to the DOI, and the version if appropriate."" Not required.",0,"""Our complete tutorial for using and citing repositories for data, software, and other research artifacts is available as a collaboratively-edited document on GitHub."" Does not state if this is required or not.",2,"""Software should be published, placed in a persistent archive, and cited in the manuscript to appear in the formal reference list of your final article.""",0,"""Our complete tutorial for using and citing repositories for data, software, and other research artifacts is available as a collaboratively-edited document on GitHub."" Does not state if this is required or not.",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",2
"34876","20419139","2023",1468,21100203948,"EvoDevo","journal","20419139",1.904,"Q1",43,15,56,1156,244,55,3.88,77.07,"United Kingdom","Western Europe","BioMed Central Ltd","2010-2023","Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","20419139","EvoDevo","2041-9139","","""EvoDevo publishes high quality articles on a broad range of topics associated with the translation of genotype to phenotype in a phylogenetic context. Understanding the history of life, the evolution of novelty and the generation of form, whether through embryogenesis, budding, or regeneration are amongst the greatest challenges in biology. We support the understanding of these processes through the many complementary approaches that characterize the field of evo-devo.""","BioMed Central","","https://www.biomedcentral.com/getpublished/editorial-policies",2,"""BMC endorses the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""All authors must include an Availability of Data and Materials section in their manuscript detailing where the data supporting their findings can be found.""",1,"""The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code.""",1,"""Submission of a manuscript to a BMC journal implies that any unique materials described in the manuscript will be freely available to scientists wishing to use them for non-commercial purposes, without breaching participant confidentiality.""",1,"""We strongly recommend that authors refer to the minimum reporting guidelines for health research hosted by the EQUATOR Network when preparing their manuscript, and FAIRsharing.org for reporting checklists for biological and biomedical research, where applicable. """,0,"Only mentions clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",6
"34880","20426410","2023",1336,21100283775,"Biology of Sex Differences","journal","20426410",2.03,"Q1",61,88,203,6104,1367,202,4.99,69.36,"United Kingdom","Western Europe","BioMed Central Ltd","2010-2023","Endocrinology (Q1); Gender Studies (Q1)","Biochemistry, Genetics and Molecular Biology; Social Sciences","20426410","Biology of Sex Differences","2042-6410","","""Unlike any other scientific journal, Biology of Sex Differences focuses on sex differences in all aspects of an individual or organism: from molecules to behavior and from studies of cellular function to clinical research studies. This journal aims to improve understanding of basic biological principles mediating sex differences and foster development of therapeutic and diagnostic tools that are sex-specific. To the extent that gender influences biological outcomes, this journal also is interested in research addressing gender differences. Articles are expected to report results that directly compare sex/gender differences in the statistical analysis.""","BioMed Central","","https://www.biomedcentral.com/getpublished/editorial-policies",2,"""BMC endorses the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI).""",1,"""All authors must include an Availability of Data and Materials section in their manuscript detailing where the data supporting their findings can be found.""",1,"""The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code.""",1,"""Submission of a manuscript to a BMC journal implies that any unique materials described in the manuscript will be freely available to scientists wishing to use them for non-commercial purposes, without breaching participant confidentiality.""",1,"""We strongly recommend that authors refer to the minimum reporting guidelines for health research hosted by the EQUATOR Network when preparing their manuscript, and FAIRsharing.org for reporting checklists for biological and biomedical research, where applicable. """,0,"Only mentions clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",6
"34899","20427530","2023",8254,17600155133,"E-Learning and Digital Media","journal","20427530, 17418887",0.646,"Q2",30,50,97,2956,364,97,3.77,59.12,"United Kingdom","Western Europe","SAGE Publications Inc.","2009-2023","Computer Science Applications (Q2); Education (Q2)","Computer Science; Social Sciences","20427530","E-Learning and Digital Media","2042-7530","2042-7530","""E-Learning and Digital Media is a journal that publishes high-quality research articles and scholarly work in various fields. Our mission is to provide a platform for researchers to share their findings, theories, and modern methodologies with the academic community and beyond. We encourage interdisciplinary and specialized research that focuses on specific disciplines or interdisciplinary topics, aiming to foster collaboration and knowledge exchange among researchers from different fields.""","SAGE","","https://journals.sagepub.com/author-instructions/LDM",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"34921","20428898","2023",3526,21100201986,"Interface Focus","journal","20428898, 20428901",1.15,"Q1",73,54,175,3093,758,170,3.45,57.28,"United Kingdom","Western Europe","The Royal Society","2011-2023","Biochemistry (Q1); Bioengineering (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Biophysics (Q1); Biotechnology (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science","20428898","Interface Focus","2042-8898","2042-8901","""Each Interface Focus themed issue is devoted to a particular subject at the interface of the physical and life sciences. Formed of high-quality articles, they aim to facilitate cross-disciplinary research across this traditional divide by acting as a forum accessible to all. Topics may be newly emerging areas of research or dynamic aspects of more established fields. Organisers of each Interface Focus are strongly encouraged to contextualise the journal within their chosen subject.""","Royal Society Publishing","","https://royalsociety.org/journals/ethics-policies/",2,"Citing datasets and code ensure effective and robust dissemination and appropriate credit to authors.",2,"It is a condition of publication that authors make available the data, code and research materials supporting the results in the article.",2,"It is a condition of publication that authors make available the data, code and research materials supporting the results in the article.",2,"It is a condition of publication that authors make available the data, code and research materials supporting the results in the article.",1,"Journal provides common repositories for data.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",9
